评论时间,评论者,弹幕内容
2022/4/2 14:52,鰪襵,请观看人注意现在在上课[doge]
2022/4/2 14:53,是哪吒不是哪托,我们下午没课[doge]
2022/4/2 14:55,真爱搬运中心,回复@是哪吒不是哪托:什么度假村学校[doge]
2022/4/2 14:56,Tutu_ye,直接照常上课，多的一天调到暑假[微笑]
2022/4/2 13:05,我似七九,可以看出番茄很努力让这个游戏看起来好玩[Cat2_Chaos]
2022/4/2 17:26,月娴音思,这个游戏找好多短视频网红营销号硬加植入，我这qq看点都不敢刷就是怕三个视频一条他的广告，没有想到打开b站我还能看到他[保卫萝卜_哭哭]
2022/4/3 15:22,重返帝国手游,有没有一种可能是真的好玩[脱单doge]
2022/4/3 19:29,黏土olo,回复@重返帝国手游:可是愚人节已经过去了[doge]
2022/4/2 12:28,翩若游龙Zisyun,“人类从历史中得到的唯一教训，就是他们根本不会从历史中得到任何教训。”
2022/4/2 12:44,你罩我吧,人类通性：不见棺材不落泪
2022/4/2 14:48,lxxxxxxxx丶,回复@你罩我吧:见了棺材还是不落泪[doge]
2022/4/3 15:24,重返帝国手游,禁止套娃[doge]
2022/4/2 12:07,寒鴉渡-,我好像看完了一个广告，又好像看完了一个视频……[热词系列_知识增加]
2022/4/2 22:05,voctor_,有没有一种可能，这是一个广告视频[思考]
2022/4/3 15:55,重返帝国手游,看完视频再攻个城岂不是美滋滋[脱单doge]
2022/4/3 21:24,实际数据,回复@重返帝国手游:我还是想和龙叔攻沙[doge]
2022/4/2 12:28,脑滕君,完了，又疯了一个，隔壁某幻已经疯了[辣眼睛][辣眼睛][辣眼睛]
2022/4/2 12:33,这个人的名字不值得看,“我们终于疯了！”
2022/4/2 12:36,那个阿柴,疫起疯[doge][脱单doge]
2022/4/2 14:47,lxxxxxxxx丶,回复@那个阿柴:疫起？疯！！！[doge]
2022/4/2 12:55,溪今天梦到电子羊了没,托码头你对周六十二点是多么迷恋？(●￣(ｴ)￣●)
2022/4/2 14:37,狗狗五郎,以前是周五12点的
2022/4/3 15:25,重返帝国手游,独享茶水间time（bushi
2022/4/3 17:05,溪今天梦到电子羊了没,回复@重返帝国手游:我透！活的官方✿ヽ(°▽°)ノ✿
2022/4/2 12:45,鬼鬼鬼的密者,这游戏我下了，玩了两天，感觉上还好，加入联盟后才算真的开始，跟着联盟到处征地，现在还有好多没占领的城，还算有点意思吧，每个联盟人数70，，我见过最多的是100，但是群里活人一般只有20多，因为是新上线的游戏，好多人都是玩完了新手教程然后弃坑的，我从开服就跟着玩了，等级和氪佬差不多，然后资源是真的难凑，每天攻打别人得到资源有上限，打精锐得科技点数有上限，英雄出征也有体力机制，每天用完就没事可做了。新手有现实时间3天的新手保护机制，前期玩的还算舒服，但保护机制过后很难随便改动，退盟时间成了8h，迁城12h比较难顶。
2022/4/2 13:00,说东德好往西德跑,英雄O克玩家基本固定，我打赌没充钱的都是玩弓箭的，其他的根本没英雄可玩
2022/4/2 13:04,天弈Terry,告诉你一个残忍的真相，他们是因为企鹅给了很多Q币，但是十级才能领[tv_doge]领完当然都走啦
2022/4/2 14:50,天挽风,回复@天弈Terry:Q币没了，昨天想领没领到
